Tweet ID,text,attachments,author_id,context_annotations,conversation_id,created_at,entities,geo,in_reply_to_user_id,lang,public_metrics,referenced_tweets,entities_hashtags
1453091911619825673,"Hello, world! The Bitcoin white paper is taking over the New York City skyline. 🍎🌆🚀https://t.co/CTWtEm5wqa",,24222556,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596794716162', 'name': 'Financial services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1007360414114435072', 'name': 'Bitcoin cryptocurrency', 'description': 'Bitcoin Cryptocurrency'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '847888632711061504', 'name': 'Personal finance', 'description': 'Personal finance'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]",1453091911619825673,2021-10-26 20:11:23+00:00,"{'urls': [{'start': 83, 'end': 106, 'url': 'https://t.co/CTWtEm5wqa', 'expanded_url': 'https://www.coindesk.com/business/2021/10/26/winklevoss-led-gemini-behind-bitcoin-white-paper-excerpts-on-nyc-billboard/', 'display_url': 'coindesk.com/business/2021/…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1453045201409351682/DMtksjMu?format=jpg&name=orig', 'width': 1200, 'height': 628}, {'url': 'https://pbs.twimg.com/news_img/1453045201409351682/DMtksjMu?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Winklevoss-Led Gemini Behind Bitcoin White Paper Excerpts on NYC Billboard', 'description': 'The crypto exchange inked a three-year deal for digital signage that was previously home to CNN.', 'unwound_url': 'https://www.coindesk.com/business/2021/10/26/winklevoss-led-gemini-behind-bitcoin-white-paper-excerpts-on-nyc-billboard/'}], 'annotations': [{'start': 57, 'end': 69, 'probability': 0.9662, 'type': 'Place', 'normalized_text': 'New York City'}]}",,,en,"{'retweet_count': 2, 'reply_count': 4, 'like_count': 9, 'quote_count': 0}",,
1453091826072633345,RT @KanchanGupta: “So-called bigoted 'outrage' against Mohammad Shami after India-Pakistan T20 World Cup match was an orchestrated attempt…,,1637616686,"[{'domain': {'id': '6', 'name': 'Sports Event'}, 'entity': {'id': '1437713821452234752', 'name': ""2021 ICC Men's T20 World Cup""}}, {'domain': {'id': '6', 'name': 'Sports Event'}, 'entity': {'id': '1437805861628375045', 'name': 'Pakistan vs New Zealand'}}, {'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '897814293395103744', 'name': 'Cricket'}}, {'domain': {'id': '12', 'name': 'Sports Team', 'description': 'A sports team organization, like Arsenal and the Boston Celtics'}, 'entity': {'id': '897814234498686976', 'name': 'Pakistan'}}, {'domain': {'id': '12', 'name': 'Sports Team', 'description': 'A sports team organization, like Arsenal and the Boston Celtics'}, 'entity': {'id': '897814278568161280', 'name': 'India'}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '1437802949418229761', 'name': ""ICC Men's T20 World Cup""}}, {'domain': {'id': '40', 'name': 'Sports Series', 'description': 'A grouping of sports events or series, for example 2014 pre-season, a tournament, or round'}, 'entity': {'id': '1437802949418229761', 'name': ""ICC Men's T20 World Cup""}}]",1453091826072633345,2021-10-26 20:11:03+00:00,"{'mentions': [{'start': 3, 'end': 16, 'username': 'KanchanGupta', 'id': '44704537'}], 'annotations': [{'start': 55, 'end': 68, 'probability': 0.9795, 'type': 'Person', 'normalized_text': 'Mohammad Shami'}, {'start': 76, 'end': 80, 'probability': 0.9605, 'type': 'Place', 'normalized_text': 'India'}, {'start': 82, 'end': 103, 'probability': 0.5673, 'type': 'Other', 'normalized_text': 'Pakistan T20 World Cup'}]}",,,en,"{'retweet_count': 549, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1453035181443469312 type=retweeted],
1453091634879639553,RT @SSGPrinceVegeta: Hello guys i hate to ask a good friend of mines cats vet bill was so outrageous expensive if you can help out a dear f…,,997125904047501312,,1453091634879639553,2021-10-26 20:10:17+00:00,"{'mentions': [{'start': 3, 'end': 19, 'username': 'SSGPrinceVegeta', 'id': '752658742194286592'}]}",,,en,"{'retweet_count': 21, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1453050505404559367 type=retweeted],
1453091628952948738,“Hello world”,,1390983395711152132,,1453091628952948738,2021-10-26 20:10:16+00:00,,,,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,
1453091603594293251,"RT @AxieWomensAlli: Hello world!

Our mission is to empower #women of diverse backgrounds through #Axie, P2E, and blockchain gaming.

Pleas…",,1327636179513176073,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '857879456773357569', 'name': 'Technology', 'description': 'Technology'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1001503516555337728', 'name': 'Blockchain', 'description': 'Blockchain'}}]",1453091603594293251,2021-10-26 20:10:10+00:00,"{'hashtags': [{'start': 60, 'end': 66, 'tag': 'women'}, {'start': 98, 'end': 103, 'tag': 'Axie'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'AxieWomensAlli', 'id': '1449127339183513611'}]}",,,en,"{'retweet_count': 44, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1449168561788829699 type=retweeted],"[{'start': 60, 'end': 66, 'tag': 'women'}, {'start': 98, 'end': 103, 'tag': 'Axie'}]"
1453091592542162944,"RT @otterclam: Hello, world! 

We are enhydras - the early otter lives in Kamchatka.

If we otter together, we can concur the world. (🦦,🦦)…",,1390236659094933512,,1453091592542162944,2021-10-26 20:10:07+00:00,"{'mentions': [{'start': 3, 'end': 13, 'username': 'otterclam', 'id': '1450672498148708352'}]}",,,en,"{'retweet_count': 475, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1452834913518907393 type=retweeted],
1453091551710744588,RT @1_LoveLiberty: Hello World ! I'm 15 minutes old 🥰💙 https://t.co/vfkgZjVeCY,{'media_keys': ['3_1452584689408040963']},927185456558637056,,1453091551710744588,2021-10-26 20:09:57+00:00,"{'mentions': [{'start': 3, 'end': 17, 'username': '1_LoveLiberty', 'id': '2924434627'}], 'urls': [{'start': 55, 'end': 78, 'url': 'https://t.co/vfkgZjVeCY', 'expanded_url': 'https://twitter.com/1_LoveLiberty/status/1452584726972207106/photo/1', 'display_url': 'pic.twitter.com/vfkgZjVeCY'}]}",,,en,"{'retweet_count': 1006, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1452584726972207106 type=retweeted],
1453091542613196800,RT @KanchanGupta: “So-called bigoted 'outrage' against Mohammad Shami after India-Pakistan T20 World Cup match was an orchestrated attempt…,,401371618,"[{'domain': {'id': '6', 'name': 'Sports Event'}, 'entity': {'id': '1437713821452234752', 'name': ""2021 ICC Men's T20 World Cup""}}, {'domain': {'id': '6', 'name': 'Sports Event'}, 'entity': {'id': '1437805861628375045', 'name': 'Pakistan vs New Zealand'}}, {'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '897814293395103744', 'name': 'Cricket'}}, {'domain': {'id': '12', 'name': 'Sports Team', 'description': 'A sports team organization, like Arsenal and the Boston Celtics'}, 'entity': {'id': '897814234498686976', 'name': 'Pakistan'}}, {'domain': {'id': '12', 'name': 'Sports Team', 'description': 'A sports team organization, like Arsenal and the Boston Celtics'}, 'entity': {'id': '897814278568161280', 'name': 'India'}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '1437802949418229761', 'name': ""ICC Men's T20 World Cup""}}, {'domain': {'id': '40', 'name': 'Sports Series', 'description': 'A grouping of sports events or series, for example 2014 pre-season, a tournament, or round'}, 'entity': {'id': '1437802949418229761', 'name': ""ICC Men's T20 World Cup""}}]",1453091542613196800,2021-10-26 20:09:55+00:00,"{'mentions': [{'start': 3, 'end': 16, 'username': 'KanchanGupta', 'id': '44704537'}], 'annotations': [{'start': 55, 'end': 68, 'probability': 0.9795, 'type': 'Person', 'normalized_text': 'Mohammad Shami'}, {'start': 76, 'end': 80, 'probability': 0.9605, 'type': 'Place', 'normalized_text': 'India'}, {'start': 82, 'end': 103, 'probability': 0.5673, 'type': 'Other', 'normalized_text': 'Pakistan T20 World Cup'}]}",,,en,"{'retweet_count': 549, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1453035181443469312 type=retweeted],
1453091462569086980,"Hello
To every corner of the world
You may think that you are one insignificant person to someone
But to someone you just might be their whole world.
BLU.",,1440125458499006464,,1453091462569086980,2021-10-26 20:09:36+00:00,,,,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,
1453091367492665350,"RT @IronLordMink: Hello Tankers and Tankettes - Iron Lord is live playing World of Tanks Console over @ https://t.co/AyPI35aa5v

@WoTConsole",,1079554614830292992,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '856745512136957952', 'name': 'World of Tanks', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable.\t\t\t'}}]",1453091367492665350,2021-10-26 20:09:13+00:00,"{'mentions': [{'start': 3, 'end': 16, 'username': 'IronLordMink', 'id': '1350193558423265282'}, {'start': 129, 'end': 140, 'username': 'WoTConsole', 'id': '1498689979'}], 'urls': [{'start': 104, 'end': 127, 'url': 'https://t.co/AyPI35aa5v', 'expanded_url': 'https://www.twitch.tv/ironlordmink', 'display_url': 'twitch.tv/ironlordmink'}], 'annotations': [{'start': 36, 'end': 44, 'probability': 0.4522, 'type': 'Person', 'normalized_text': 'Tankettes'}, {'start': 48, 'end': 56, 'probability': 0.6184, 'type': 'Other', 'normalized_text': 'Iron Lord'}, {'start': 74, 'end': 95, 'probability': 0.5422, 'type': 'Other', 'normalized_text': 'World of Tanks Console'}]}",,,en,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1453071825987121165 type=retweeted],
