Tweet ID,text,attachments,author_id,context_annotations,conversation_id,created_at,entities,geo,in_reply_to_user_id,lang,referenced_tweets,followers_count,verified,entities_hashtags,retweet_count,reply_count,like_count,quote_count,total_engagements
593927790707146752,"RT @charisma_news: What you need to know about #BrueJenner, the #Bible and the #Transgender #debate. #genderidentity http://t.co/LSuIm4nDNl",,1373628060,,593927790707146752,2015-04-30 23:59:54+00:00,"{'hashtags': [{'start': 47, 'end': 58, 'tag': 'BrueJenner'}, {'start': 64, 'end': 70, 'tag': 'Bible'}, {'start': 79, 'end': 91, 'tag': 'Transgender'}, {'start': 92, 'end': 99, 'tag': 'debate'}, {'start': 101, 'end': 116, 'tag': 'genderidentity'}], 'urls': [{'start': 117, 'end': 139, 'url': 'http://t.co/LSuIm4nDNl', 'expanded_url': 'http://bit.ly/1bfrRWc', 'display_url': 'bit.ly/1bfrRWc'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'charisma_news', 'id': '370729020'}]}",,,en,[<ReferencedTweet id=593897864322920448 type=retweeted],2367,False,"['BrueJenner', 'Bible', 'Transgender', 'debate', 'genderidentity']",2,0,0,0,2
593927751624691713,Temas del dia: Wheaties Cereal Speaks Out On Bruce Jenner's Plans To Transition Into A Woman — Does The Company Sti… http://t.co/XKZyzZdmAh,{'media_keys': ['3_593927751549214720']},159642266,,593927751624691713,2015-04-30 23:59:45+00:00,"{'urls': [{'start': 117, 'end': 139, 'url': 'http://t.co/XKZyzZdmAh', 'expanded_url': 'https://twitter.com/topodata/status/593927751624691713/photo/1', 'display_url': 'pic.twitter.com/XKZyzZdmAh'}], 'annotations': [{'start': 45, 'end': 56, 'probability': 0.9888, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,,1548,False,,0,0,0,0,0
593927717130756096,"RT @LadyCasa305: ""Have an open mind and an open heart"" 💞 - Bruce Jenner",,1122010518,,593927717130756096,2015-04-30 23:59:37+00:00,"{'mentions': [{'start': 3, 'end': 15, 'username': 'LadyCasa305', 'id': '252261660'}], 'annotations': [{'start': 60, 'end': 71, 'probability': 0.9971, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,[<ReferencedTweet id=592575801721266177 type=retweeted],116,False,,21,0,0,0,21
593927659815641088,"Lily Tomlin, Tennessee School Applaud Bruce Jenner for, Obama says",,2997117148,,593927659815641088,2015-04-30 23:59:23+00:00,"{'annotations': [{'start': 0, 'end': 10, 'probability': 0.9987, 'type': 'Person', 'normalized_text': 'Lily Tomlin'}, {'start': 13, 'end': 28, 'probability': 0.6263, 'type': 'Organization', 'normalized_text': 'Tennessee School'}, {'start': 38, 'end': 49, 'probability': 0.9967, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}, {'start': 56, 'end': 60, 'probability': 0.9965, 'type': 'Person', 'normalized_text': 'Obama'}]}",,,en,,19,False,,0,0,0,0,0
593927510158483456,"RT @Tmoney68: The real winner in the Bruce Jenner story is the E! Network. Now that he's a woman, they can pay him 40% less for his new rea…",,409679865,,593927510158483456,2015-04-30 23:58:47+00:00,"{'mentions': [{'start': 3, 'end': 12, 'username': 'Tmoney68', 'id': '52771449'}], 'annotations': [{'start': 37, 'end': 48, 'probability': 0.9922, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,[<ReferencedTweet id=592671655123677187 type=retweeted],20024,False,,384,0,0,0,384
593927325286281216,RT @fcardillo_: First images of Bruce Jenner in the process of his transformation http://t.co/uE1TSoaz6Q,{'media_keys': ['3_593927227076521985']},2690994607,,593927325286281216,2015-04-30 23:58:03+00:00,"{'urls': [{'start': 82, 'end': 104, 'url': 'http://t.co/uE1TSoaz6Q', 'expanded_url': 'https://twitter.com/fcardillo_/status/593927234169090048/photo/1', 'display_url': 'pic.twitter.com/uE1TSoaz6Q'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'fcardillo_', 'id': '2510218200'}], 'annotations': [{'start': 32, 'end': 43, 'probability': 0.9986, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,[<ReferencedTweet id=593927234169090048 type=retweeted],621,False,,2,0,0,0,2
593927315375063040,RT @AubreyMarcus: Really girly picture of my brother @joerogan on the newsstand. Right next to Bruce Jenner crossdressing for contrast http…,,213088910,,593927315375063040,2015-04-30 23:58:01+00:00,"{'mentions': [{'start': 3, 'end': 16, 'username': 'AubreyMarcus', 'id': '105196298'}, {'start': 53, 'end': 62, 'username': 'joerogan', 'id': '18208354'}], 'annotations': [{'start': 95, 'end': 106, 'probability': 0.997, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,[<ReferencedTweet id=593925181136969728 type=retweeted],29,False,,41,0,0,0,41
593927234169090048,First images of Bruce Jenner in the process of his transformation http://t.co/uE1TSoaz6Q,{'media_keys': ['3_593927227076521985']},2510218200,,593927234169090048,2015-04-30 23:57:41+00:00,"{'urls': [{'start': 66, 'end': 88, 'url': 'http://t.co/uE1TSoaz6Q', 'expanded_url': 'https://twitter.com/fcardillo_/status/593927234169090048/photo/1', 'display_url': 'pic.twitter.com/uE1TSoaz6Q'}], 'annotations': [{'start': 16, 'end': 27, 'probability': 0.9983, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",{'place_id': 'f33f520be81a525c'},,en,,907,False,,2,1,7,0,10
593927038286884864,He said she look like Bruce Jenner I'm done 😂😂😂😂😭😭😭😭😭,,1444848511,,593927038286884864,2015-04-30 23:56:55+00:00,"{'annotations': [{'start': 22, 'end': 33, 'probability': 0.9969, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,,761,False,,0,0,0,0,0
593927030447710208,"RT @sherylunderwood: ""@MSQUARED2_M2: @sherylunderwood LOVE everything you said @TheTalk about Bruce Jenner. You are a true ally ... http://…",,1461038803,,593927030447710208,2015-04-30 23:56:53+00:00,"{'mentions': [{'start': 3, 'end': 19, 'username': 'sherylunderwood', 'id': '34047021'}, {'start': 22, 'end': 35, 'username': 'MSQUARED2_M2', 'id': '78050423'}, {'start': 37, 'end': 53, 'username': 'sherylunderwood', 'id': '34047021'}, {'start': 79, 'end': 87, 'username': 'TheTalk', 'id': '21538084'}], 'annotations': [{'start': 94, 'end': 105, 'probability': 0.9968, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,[<ReferencedTweet id=593165738048794624 type=retweeted],693,False,,17,0,0,0,17
